Company,Metric,Value,Date,Fiscal Year,Unit
AAPL,Revenue,391035000000.0,2024-09-28,2024,USD
AAPL,Revenue,383285000000.0,2023-09-30,2023,USD
AAPL,Revenue,394328000000.0,2022-09-24,2022,USD
AAPL,Net Income,93736000000.0,2024-09-28,2024,USD
AAPL,Net Income,96995000000.0,2023-09-30,2023,USD
AAPL,Net Income,99803000000.0,2022-09-24,2022,USD
AAPL,Total Assets,364980000000.0,2024-09-28,2024,USD
AAPL,Total Assets,352583000000.0,2023-09-30,2023,USD
AAPL,Total Assets,352755000000.0,2022-09-24,2022,USD
AAPL,Cash,29943000000.0,2024-09-28,2024,USD
AAPL,Cash,29965000000.0,2023-09-30,2023,USD
AAPL,Cash,23646000000.0,2022-09-24,2022,USD
AAPL,Stockholders Equity,56950000000.0,2024-09-28,2024,USD
AAPL,Stockholders Equity,62146000000.0,2023-09-30,2023,USD
AAPL,Stockholders Equity,50672000000.0,2022-09-24,2022,USD
